cr;c0;c1;c2;c3;c4;c5;c6;c7;c8;c9;c10;c11;c12;c13;c14;c15;c16;c17;c18;c19;c20;c21;c22;c23;c24;c25;c26;c27;c28;c29;c30;c31;c32;c33;c34;c35;c36;c37;c38;c39;c40;c41;c42;c43;c44;c45;c46;c47;c48;c49;c50;c51;c52;c53;c54;c55;c56;c57;c58;c59;c60;c61;c62;c63;c64;c65;c66;c67;c68;c69;c70;c71;c72;c73;c74;c75;c76;c77;c78;c79;c80;c81;c82;c83;c84;c85;c86;c87;c88;c89;c90;c91;c92;c93;c94;c95;c96;c97;c98;c99;c100;c101;c102;c103;c104;c105;c106;c107;c108;c109;c110;c111;c112;c113;c114;c115;c116;c117;c118;c119;c120;c121;c122;c123;c124;c125;c126;c127;c128;c129;c130;c131;c132;c133;c134;c135;c136;c137;c138;c139;c140;c141;c142;c143;c144;c145;c146;c147;c148;c149;c150;c151;c152;c153;c154;c155;c156;c157;c158;c159;c160;c161;c162;c163;c164;c165;c166;c167;c168;c169;c170;c171;c172;c173;c174;c175;c176;c177;c178;c179;c180;c181;c182;c183;c184;c185;c186;c187;c188;c189;c190;c191;c192;c193;c194;c195;c196;c197;c198;c199;c200;c201;c202;c203;c204;c205;c206;c207;c208;c209;c210;c211;c212;c213;c214;c215;c216;c217;c218;c219;c220;c221;c222;c223;c224;c225;c226;c227;c228;c229;c230;c231;c232;c233;c234;c235;c236;c237;c238;c239;c240;c241;c242;c243;c244;c245;c246;c247;c248;c249;c250;c251;c252;c253;c254;c255;c256;c257;c258;c259;c260;c261;c262;c263;c264;c265;c266;c267;c268;c269;c270;c271;c272;c273;c274;c275;c276;c277;c278;c279;c280;c281;c282;c283;c284;c285;c286;c287;c288;c289;c290;c291;c292;c293;c294;c295;c296;c297;c298;c299
r75;21.918;10.165;19.666;11.968;27.85;14.462;22.82;2.38;12.085;12.496;27.058;29.419;18.898;18.122;13.609;12.891;21.631;11.186;28.192;23.203;12.692;1.726;29.859;18.646;1.684;21.25;15.384;20.961;10.691;7.227;11.826;26.434;7.955;28.925;8.842;17.577;5.859;10.244;16.595;22.683;6.727;19.728;2.392;12.78;26.763;26.389;3.614;24.471;24.861;16.154;13.513;20.327;15.556;6.781;21.282;16.793;20.358;14.661;9.395;17.465;9.828;20.423;22.36;7.434;7.349;24.206;17.806;8.82;24.215;4.439;23.806;4.13;17.187;24.285;26.868;10.753;24.869;21.844;10.139;16.38;20.668;4.47;7.547;28.18;20.57;19.681;16.905;21.72;28.31;28.958;22.275;16.857;24.187;12.977;16.897;19.426;21.881;5.281;15.461;13.816;9.7;13.678;17.992;4.238;7.154;2.817;24.784;5.653;6.919;17.578;4.067;20.734;25.349;3.538;24.715;18.28;23.908;29.928;11.165;20.47;9.712;20.01;20.857;18.088;2.943;20.702;22.038;29.339;18.993;15.184;9.857;19.076;10.502;6.713;24.046;8.718;27.764;3.852;11.835;5.675;4.272;26.592;19.112;28.094;16.321;10.12;10.642;7.915;26.242;23.926;22.966;15.383;2.182;24.17;4.899;9.328;15.631;6.648;21.172;20.486;18.997;1.891;29.612;2.302;7.473;10.47;25.615;14.018;5.392;4.877;26.104;25.843;12.5;10.978;11.935;13.235;18.536;11.379;7.597;9.421;14.872;21.171;26.917;21.892;12.618;23.557;26.9;5.464;27.322;15.785;11.626;9.945;26.201;10.175;1.632;17.304;20.117;26.26;21.581;24.021;20.589;9.45;2.057;12.53;13.45;5.755;19.561;5.991;11.524;12.514;9.082;3.184;18.174;28.359;9.184;17.28;25.683;24.706;9.565;26.093;9.446;1.073;8.773;24.367;13.554;1.238;1.871;20.82;15.665;21.966;2.44;8.09;3.293;5.649;27.287;26.783;25.011;26.614;20.275;16.862;8.0;13.549;17.918;18.136;5.465;9.654;12.342;25.141;5.8;16.163;3.022;21.964;10.707;1.716;4.001;2.624;2.116;27.965;8.365;15.338;6.78;15.972;5.882;21.671;22.882;1.966;14.905;12.176;23.863;4.581;25.346;23.207;2.259;11.703;12.654;5.374;24.965;17.718;13.244;26.371;20.357;7.128;17.669;10.572;3.174;6.302;11.197;3.519;22.244;26.059;17.254;6.27;23.851;11.938;16.37;16.637;4.779;5.792;4.318;21.87
r76;1.775;8.471;3.874;11.422;13.374;4.059;8.388;20.262;15.497;29.921;3.481;24.427;12.871;13.253;22.164;15.745;23.59;11.993;26.731;7.831;21.111;27.938;27.117;24.316;20.144;18.25;19.634;4.065;1.73;22.191;28.075;14.259;22.991;17.18;2.309;29.812;23.472;23.487;18.225;3.047;3.082;3.021;8.645;10.423;12.575;26.716;26.444;14.9;18.957;13.603;24.68;16.006;28.466;16.84;21.406;21.317;12.049;5.51;2.498;21.948;9.889;12.006;27.916;17.493;15.079;25.076;8.0;4.967;16.135;22.358;11.083;29.524;17.537;17.497;14.603;4.586;24.51;13.009;12.43;9.444;3.293;24.767;15.988;24.464;16.904;24.409;16.916;28.201;19.945;16.418;9.444;12.438;16.866;10.263;2.397;3.162;22.726;7.424;5.881;24.623;23.242;14.369;5.235;25.195;9.822;25.87;20.318;21.395;6.747;21.83;18.676;8.331;13.196;13.095;29.775;1.391;5.456;21.469;20.919;22.248;27.936;1.033;23.484;15.578;15.871;9.168;29.162;10.793;5.627;22.243;25.725;10.974;7.545;29.837;1.96;9.856;22.637;19.564;29.443;3.953;2.487;9.035;26.61;9.081;27.845;29.042;18.406;6.014;17.443;6.48;15.23;14.775;8.74;24.043;9.693;5.048;10.678;8.743;28.096;27.977;5.914;19.659;1.207;25.158;20.273;9.465;27.391;5.797;12.705;17.733;20.618;5.869;10.623;12.595;28.413;10.203;19.544;22.963;27.167;16.51;26.955;25.264;6.844;18.736;7.263;7.334;1.907;18.368;11.317;1.863;22.007;3.396;15.767;10.923;26.321;27.24;19.834;25.55;6.771;18.218;17.123;15.016;8.312;13.981;1.185;21.217;23.702;23.509;25.647;17.553;5.96;4.954;25.238;8.803;9.684;11.57;12.549;14.892;9.939;1.951;18.239;22.207;6.625;27.171;24.697;4.56;13.989;20.761;25.725;17.25;21.003;27.62;15.475;2.988;20.678;12.372;29.328;9.522;10.566;16.157;16.743;19.926;14.032;27.98;11.022;26.364;22.324;11.597;21.93;16.255;15.285;7.284;1.097;28.829;28.842;18.182;10.05;29.767;2.364;16.564;5.973;8.413;22.661;25.71;23.508;2.417;21.149;17.245;20.101;4.797;13.606;23.084;28.426;23.701;5.764;25.822;12.539;5.293;6.637;1.753;23.748;15.53;2.958;13.79;7.626;8.219;27.154;22.615;24.383;27.539;2.145;12.696;10.783;16.141;2.907;17.136;26.969;9.78;22.495;7.844
r77;16.798;29.945;18.496;6.677;8.555;16.505;15.658;24.065;27.854;12.441;4.579;14.28;2.09;19.236;24.424;16.162;26.336;1.694;9.499;18.565;11.113;21.244;12.477;21.721;6.094;12.087;3.643;25.703;21.159;25.667;4.822;13.889;22.449;22.521;12.855;17.861;10.71;2.285;23.49;23.08;3.528;17.969;5.343;24.708;15.98;25.572;5.726;7.571;18.214;29.32;18.354;22.983;9.432;4.631;5.925;3.909;1.585;13.723;27.355;23.894;12.986;4.744;1.417;23.92;3.752;4.656;6.355;17.385;3.216;29.38;13.394;24.697;18.753;29.896;12.29;17.571;22.463;23.072;2.001;1.986;15.703;13.072;26.612;24.937;16.966;13.856;16.443;18.995;16.64;15.111;12.476;19.973;15.602;5.169;18.927;2.994;28.879;22.011;18.769;15.036;16.295;6.816;7.327;2.784;25.674;16.544;16.353;15.027;19.737;8.744;17.804;16.349;20.109;15.871;23.897;6.106;11.153;6.755;27.767;24.445;6.751;22.636;28.148;5.164;27.565;22.792;6.589;29.479;4.21;23.191;26.186;17.689;20.349;9.658;22.181;16.912;26.338;6.372;23.012;10.683;23.692;14.655;24.317;29.978;21.548;7.569;29.38;17.791;19.303;27.851;5.532;20.211;2.523;21.439;2.797;8.137;10.084;17.509;18.083;29.952;10.577;6.696;26.165;24.879;7.405;20.404;4.732;22.418;12.44;21.689;13.804;8.622;4.203;13.804;1.516;11.003;14.616;25.967;1.806;20.772;24.013;29.254;5.402;25.484;8.566;20.395;9.329;27.242;23.932;1.387;2.755;28.386;26.693;2.92;22.6;12.025;16.428;12.743;6.137;5.47;21.681;28.043;15.494;22.196;17.949;25.324;8.769;9.615;27.245;11.226;17.532;9.36;1.78;25.251;20.333;18.492;19.463;14.116;28.693;26.662;20.851;21.253;11.019;29.289;29.278;12.504;23.711;27.179;21.155;7.83;5.278;27.597;19.435;26.876;25.359;3.432;21.947;15.534;2.25;21.031;29.972;1.297;16.236;1.912;5.797;5.606;24.928;3.173;14.126;8.511;19.857;12.773;9.449;6.546;24.959;6.633;8.457;14.017;4.556;10.956;20.616;24.517;3.795;2.628;25.614;19.579;7.906;12.947;14.886;5.543;29.914;12.499;13.467;28.888;28.363;14.066;21.898;9.394;15.676;27.88;7.168;12.051;7.089;6.155;28.564;19.866;20.028;15.393;6.122;23.268;11.366;15.463;15.428;26.708;28.883;29.045;12.44;3.522;8.882;3.296
r78;4.682;8.056;5.995;21.695;25.046;15.238;28.488;22.35;16.508;22.596;12.064;18.408;22.231;9.835;5.75;20.081;18.317;8.809;2.775;16.961;19.118;9.391;12.817;1.178;23.275;15.069;25.981;25.023;20.289;11.368;6.002;21.305;26.757;12.329;17.169;28.735;18.426;7.763;3.122;1.951;26.613;28.16;8.403;15.627;11.917;4.565;21.065;17.778;19.413;24.16;3.112;18.919;27.55;20.496;24.837;9.634;20.593;2.567;4.071;12.724;23.928;29.952;9.043;23.508;1.027;9.195;28.269;16.312;3.927;10.162;7.047;6.418;13.278;29.409;12.774;5.168;12.285;6.055;2.321;8.262;16.805;10.168;18.359;15.751;22.588;17.677;15.604;28.399;18.314;23.838;14.276;27.411;27.463;19.86;12.025;11.443;20.777;17.408;15.686;25.772;27.134;11.413;28.178;2.667;24.158;21.256;8.955;11.069;20.362;11.944;12.612;14.722;4.566;16.965;12.568;4.628;18.595;21.634;23.924;25.669;25.553;20.37;19.559;12.163;10.669;28.437;7.283;27.496;14.502;2.054;9.964;4.477;29.811;18.22;1.953;27.712;27.607;13.987;8.499;6.629;11.449;14.5;17.568;14.374;2.926;19.969;6.266;21.969;28.531;7.266;9.002;3.34;17.031;2.482;15.892;14.894;10.152;11.606;15.054;4.027;24.016;9.171;22.656;17.578;27.975;28.756;25.209;5.04;11.444;29.125;24.107;26.327;14.885;2.737;22.104;27.25;18.417;5.594;1.523;8.861;17.776;23.445;10.619;1.355;20.458;4.388;21.042;15.168;6.682;23.578;12.929;4.382;13.036;27.11;25.208;10.714;15.09;13.098;27.17;29.361;10.066;23.486;20.364;8.611;28.07;13.11;6.959;22.324;25.497;9.077;12.943;20.135;4.072;27.338;4.19;17.826;13.728;29.076;22.05;22.215;23.13;9.383;21.402;3.908;27.765;12.265;29.773;26.985;13.203;12.089;28.507;22.921;7.467;20.027;28.214;10.783;19.946;24.662;10.726;4.03;8.386;12.881;3.205;27.377;27.282;13.4;14.63;23.926;17.827;19.915;16.384;2.483;11.686;19.795;25.618;17.813;8.942;29.19;29.98;3.425;17.908;24.178;1.521;22.01;7.074;17.897;19.896;24.352;25.14;2.019;17.51;15.603;15.716;14.361;19.867;9.088;16.331;12.04;11.598;15.971;2.502;25.375;6.737;18.116;12.289;28.749;26.444;14.827;12.585;7.299;17.792;18.041;12.788;12.642;23.161;11.442;25.993;24.085;6.422;15.702
r79;8.54;14.028;16.686;2.896;15.273;14.494;9.886;5.554;24.145;5.413;2.371;20.114;27.703;16.172;20.327;25.245;7.909;14.992;22.833;28.596;25.64;14.439;16.97;26.045;28.055;3.143;12.117;18.743;26.039;28.164;1.186;24.736;26.537;21.501;10.375;17.736;10.289;14.962;24.772;20.27;16.452;13.439;10.305;21.493;8.968;4.651;1.157;17.288;5.563;3.457;4.0;26.45;19.888;29.842;24.85;28.281;28.503;10.758;15.903;21.648;18.17;19.642;11.885;17.655;8.539;13.347;20.094;9.992;17.742;29.774;27.398;7.231;27.043;29.136;29.54;14.959;24.273;18.942;24.919;18.888;10.381;3.897;19.731;4.372;17.89;12.279;20.919;13.393;8.505;13.145;14.248;14.032;22.665;11.007;6.224;5.866;24.891;27.168;5.686;15.223;23.778;1.108;24.395;22.268;2.057;9.058;3.769;5.171;6.943;11.277;29.228;7.559;4.799;21.174;10.84;3.827;11.125;4.959;18.75;4.612;9.363;20.062;16.278;28.119;20.562;13.366;14.933;18.769;22.188;26.725;23.094;7.93;4.647;3.42;28.001;3.58;27.775;14.364;25.566;7.493;16.371;12.874;25.665;26.622;26.933;29.356;3.17;29.215;13.22;21.968;6.822;23.272;17.256;19.334;2.027;5.764;19.107;7.839;1.386;13.704;6.811;22.213;6.729;18.791;23.211;27.192;25.602;5.507;11.236;5.671;18.572;14.658;3.443;24.357;2.861;11.991;11.771;6.798;24.311;11.676;7.322;22.754;21.104;15.806;4.362;4.853;4.537;4.045;23.241;8.551;17.453;13.115;10.228;21.6;6.073;24.213;10.986;11.456;12.935;18.607;24.227;17.625;11.168;27.952;16.498;7.28;19.456;6.972;5.106;28.757;18.628;23.782;5.103;21.67;9.749;6.563;23.674;29.081;27.723;16.889;10.58;19.433;15.169;10.149;7.426;17.62;10.906;5.935;20.664;27.309;15.308;8.385;16.423;17.657;7.596;9.544;19.704;14.938;1.99;1.34;3.685;8.198;17.032;13.992;9.636;2.536;24.679;6.863;29.792;22.368;10.57;14.742;29.294;15.177;5.614;28.129;20.554;5.878;20.876;16.903;24.746;26.934;13.944;1.212;26.693;27.007;25.647;16.342;15.576;4.266;5.84;15.029;6.619;26.684;19.3;13.339;20.041;14.815;25.925;4.389;12.882;29.617;13.52;27.384;1.828;11.713;13.751;25.095;22.575;19.667;23.341;14.587;21.333;26.736;6.507;18.689;5.781;16.885;7.097;14.278
r80;2.709;9.648;9.98;10.09;19.145;3.909;6.44;12.79;19.319;26.314;21.621;6.555;27.584;26.659;17.884;18.199;26.596;25.789;27.204;14.842;8.008;24.836;27.819;29.777;27.393;15.621;20.836;1.809;5.938;26.561;3.5;23.387;8.729;14.996;17.129;20.327;3.153;26.881;28.145;8.323;6.411;24.126;19.441;22.441;2.124;25.124;14.623;16.087;29.343;21.743;12.859;13.939;13.379;29.181;8.096;10.927;2.439;11.977;12.601;24.28;16.882;20.939;14.228;6.7;15.997;9.533;17.041;4.827;15.902;17.369;2.768;20.572;20.273;21.196;12.573;20.594;24.743;4.242;2.773;19.881;26.939;15.003;7.795;12.431;2.136;3.227;9.129;22.137;3.577;6.405;18.262;2.433;16.405;18.483;21.004;25.213;24.712;17.453;3.303;17.872;16.239;2.302;27.201;21.482;6.501;24.425;25.418;27.052;12.837;26.502;28.769;3.217;19.692;10.117;25.93;23.421;9.216;3.465;15.929;9.693;12.775;5.205;29.253;24.796;29.577;8.319;22.889;9.356;3.05;25.809;15.361;28.705;3.075;12.897;27.028;11.85;5.419;29.495;3.22;24.017;9.433;17.314;1.223;12.706;6.287;4.578;11.716;2.477;15.086;19.874;29.065;8.502;11.988;18.974;22.363;9.587;12.291;8.843;12.079;18.11;18.216;3.101;5.739;26.321;12.146;9.689;5.197;10.171;25.802;3.747;2.779;5.96;4.608;14.227;21.35;2.978;25.06;27.44;8.833;12.98;23.624;12.212;26.371;4.468;21.025;20.331;27.624;20.383;1.194;5.192;16.266;25.533;18.068;4.968;26.873;10.671;29.362;16.235;14.579;21.134;17.014;25.496;3.218;23.306;20.521;2.154;3.123;6.528;17.125;19.698;1.824;1.566;22.379;13.813;29.061;23.784;10.213;4.22;25.899;13.545;15.007;7.653;16.784;9.632;16.626;26.466;27.311;15.422;17.633;19.128;27.473;9.876;2.233;19.718;3.136;23.455;19.492;23.204;14.65;14.886;27.823;26.042;2.298;22.187;8.847;13.064;20.998;26.95;19.717;17.861;25.988;22.473;17.894;10.397;23.949;26.222;28.395;10.377;17.428;28.276;16.965;27.152;25.963;10.124;3.159;29.698;1.152;23.563;22.983;15.265;3.103;5.1;12.831;27.982;16.855;11.077;9.306;7.284;29.864;17.437;17.403;14.816;16.462;5.714;13.948;2.327;15.6;10.969;22.991;21.711;14.362;28.911;15.21;11.952;27.901;23.478;3.638;19.223;23.028;2.447
r81;27.28;16.533;22.123;23.97;11.933;17.124;19.526;6.442;14.438;7.687;3.993;29.866;23.557;5.753;6.452;25.709;11.942;29.596;8.773;3.875;22.292;19.665;19.406;11.707;11.761;12.41;5.851;12.639;2.518;21.534;4.005;12.516;14.632;19.909;27.259;24.04;21.431;7.286;24.898;7.461;13.301;1.399;27.252;4.289;12.707;26.718;4.909;23.506;19.945;2.792;8.676;23.368;9.68;14.193;4.315;1.085;21.24;23.325;17.958;18.085;23.68;2.004;2.048;29.957;28.169;21.798;18.34;9.736;14.168;14.849;15.569;2.753;13.748;27.619;17.069;8.914;4.857;11.495;7.317;10.979;22.805;26.594;25.958;23.167;19.422;4.289;19.894;22.316;26.782;5.074;29.264;4.013;8.485;11.438;17.555;4.132;20.559;3.28;7.485;27.788;23.877;1.959;3.149;3.409;13.811;15.265;14.638;17.575;4.491;1.551;27.951;25.186;23.574;21.239;22.216;20.166;3.451;20.612;28.823;26.37;24.015;1.619;15.716;11.207;16.188;18.145;27.519;15.676;22.236;24.728;1.422;8.083;15.836;10.362;8.26;23.814;6.55;13.357;4.694;20.128;22.924;18.692;1.55;16.507;24.578;15.193;25.306;5.996;26.949;2.281;15.602;23.772;2.264;22.96;22.407;3.705;26.847;9.112;8.55;12.556;5.81;22.471;1.767;20.916;9.248;29.725;29.279;14.959;29.786;28.363;26.758;10.255;20.727;29.564;27.094;6.316;4.155;20.353;3.173;22.995;25.846;24.505;22.348;19.411;5.09;22.255;28.221;15.049;26.62;25.776;17.477;16.504;28.526;28.091;5.361;3.652;6.817;19.016;26.003;24.519;3.745;21.679;17.724;18.519;13.084;20.512;12.286;24.678;7.869;8.008;2.484;1.341;15.141;22.489;3.113;29.924;23.821;3.31;2.9;6.923;2.301;13.136;29.273;6.467;29.679;10.826;28.773;14.502;8.698;28.595;19.513;1.439;14.764;9.649;1.09;13.792;29.968;18.956;5.705;14.609;4.862;21.228;21.679;8.656;13.905;17.993;14.064;12.83;11.208;23.939;1.642;11.864;24.796;28.005;10.345;8.944;12.172;13.807;26.562;17.506;26.082;4.409;14.55;1.267;29.785;23.904;16.282;29.015;13.76;1.678;1.442;29.145;10.259;10.318;7.604;2.159;12.541;9.01;10.848;2.631;5.491;21.114;8.09;28.172;29.884;16.703;16.121;6.545;19.944;26.633;25.55;14.801;4.2;21.827;13.94;2.341;19.338;27.477;3.559;21.072
r82;24.138;10.803;4.375;22.134;25.59;3.231;6.37;24.395;26.934;24.13;20.068;18.857;18.443;23.748;20.563;7.316;10.252;26.946;6.376;1.945;3.989;17.35;16.461;22.386;16.404;1.299;28.389;3.514;24.608;14.403;9.613;29.361;24.294;28.307;11.067;18.221;23.009;4.588;25.878;12.981;14.702;26.422;9.725;16.303;29.032;3.858;2.275;7.479;29.929;15.346;10.35;12.232;4.183;4.129;10.885;23.683;10.289;4.961;23.849;17.147;24.352;1.797;17.034;28.015;6.794;7.289;5.215;24.733;25.653;26.274;21.532;17.006;10.479;11.826;9.373;13.933;12.701;28.58;25.656;23.494;7.68;15.542;27.332;5.824;15.216;28.148;7.032;10.236;12.577;26.465;19.342;13.296;17.458;24.869;4.958;14.864;15.378;18.451;27.916;11.608;2.436;28.904;1.743;12.705;15.416;15.005;24.509;9.117;20.296;8.693;12.91;6.173;11.122;4.025;21.787;21.831;27.407;5.667;27.13;5.215;6.831;27.165;27.77;24.469;18.547;2.09;9.571;26.754;15.634;23.949;14.457;5.447;10.67;18.231;22.955;9.548;22.067;14.23;18.417;11.89;20.889;23.28;13.285;6.604;2.05;24.67;3.159;1.421;29.595;15.861;29.843;2.39;29.58;9.572;18.566;29.45;4.577;10.385;21.062;23.209;11.097;24.594;11.619;15.786;22.559;22.214;25.962;22.007;2.034;12.404;11.484;4.569;8.754;19.064;20.713;27.752;9.312;23.267;2.305;18.171;14.434;14.89;14.138;19.863;12.832;10.878;1.876;3.593;23.082;4.295;25.268;16.24;29.492;28.73;18.661;13.247;12.74;28.198;26.534;15.583;28.18;7.016;12.61;29.762;29.33;18.751;20.215;15.84;22.073;26.996;26.488;6.42;5.329;8.043;15.292;2.239;5.917;22.973;20.739;23.292;24.715;21.789;15.766;17.181;17.612;16.723;18.83;28.94;13.76;11.852;19.106;28.954;23.795;17.68;19.192;4.205;8.382;2.663;13.618;6.049;12.231;26.071;23.468;16.047;25.854;19.952;25.102;21.525;23.991;25.136;20.398;23.113;1.013;23.141;5.975;7.121;6.029;13.334;24.623;17.64;15.197;29.092;18.651;19.521;16.031;16.555;13.468;10.431;1.022;16.227;21.452;20.563;13.876;9.155;20.4;22.886;9.87;3.44;1.287;9.938;9.645;16.255;19.715;13.774;23.152;4.522;10.542;25.84;27.896;1.012;18.61;24.231;24.702;8.259;11.41;7.895;27.299;17.534;11.154;18.541
r83;24.167;4.494;5.811;17.74;1.214;14.808;2.268;8.39;9.386;12.475;28.785;22.573;16.271;19.182;26.223;16.981;6.313;3.121;6.817;29.244;20.823;13.024;19.279;17.63;19.815;22.57;27.287;19.035;4.092;16.649;25.478;26.605;7.555;5.693;28.838;27.088;9.498;2.472;2.547;14.597;6.787;4.063;11.935;3.133;4.22;22.613;27.708;8.671;3.758;13.994;11.576;21.145;27.379;25.122;17.613;20.673;23.761;7.273;16.728;25.904;13.321;23.712;1.092;6.79;20.748;25.683;13.959;24.38;11.225;1.335;21.345;16.672;22.035;20.196;21.172;10.614;27.222;6.111;13.237;18.482;13.42;1.615;3.724;19.005;13.264;18.448;3.08;29.443;15.476;23.348;29.744;20.904;13.684;10.759;14.555;23.98;4.349;25.126;26.64;12.794;21.908;19.948;27.296;22.114;18.468;11.668;25.653;17.795;3.915;17.071;1.068;5.304;24.349;26.128;14.061;24.99;4.507;25.643;11.99;19.707;26.786;1.271;24.551;13.442;27.123;21.994;5.135;2.426;22.729;5.439;4.544;28.449;27.197;1.496;17.021;17.991;10.048;28.0;5.106;9.412;1.074;13.245;14.562;13.756;2.38;20.892;14.232;10.055;14.819;17.375;16.556;19.742;2.72;18.49;15.791;8.122;5.244;13.836;5.668;1.039;29.427;26.432;22.377;22.48;28.132;17.76;29.108;13.779;17.989;16.147;13.403;20.765;25.178;16.873;4.795;28.139;14.097;24.356;17.161;17.639;29.223;6.561;19.189;27.631;21.595;16.955;16.361;5.697;17.332;29.266;8.285;27.363;8.087;1.31;21.507;18.095;4.372;28.709;20.925;18.813;25.275;24.439;12.378;20.388;20.469;8.057;8.595;17.464;22.57;16.472;10.594;11.683;27.041;24.368;4.893;10.646;4.657;23.509;4.838;17.683;11.154;11.253;19.512;8.671;26.744;3.137;16.74;9.522;17.779;21.429;13.149;1.127;11.346;14.513;12.337;21.507;10.116;20.681;12.186;8.422;16.827;25.066;20.435;4.474;22.634;14.473;22.764;12.144;8.182;13.846;19.618;4.173;27.56;26.23;16.34;6.181;3.963;28.39;29.184;10.967;22.102;6.905;3.778;14.788;8.026;28.558;26.697;21.001;4.287;18.956;3.369;11.578;12.294;18.716;4.75;12.428;13.717;16.367;29.059;24.783;27.801;7.375;8.03;2.604;17.508;12.753;18.083;26.905;25.944;17.284;13.5;18.28;6.259;10.734;22.165;3.005;13.376;29.445;12.276;26.274
r84;26.185;2.462;2.701;7.709;17.775;15.088;9.856;14.383;7.497;21.386;24.452;2.929;22.822;9.233;22.759;2.107;27.627;18.856;24.304;6.833;6.647;2.637;9.152;6.447;28.507;2.249;21.978;11.534;16.489;7.597;24.269;28.79;14.15;11.989;3.045;10.365;22.509;14.527;26.258;20.753;26.85;8.199;23.646;9.481;17.986;15.394;13.453;20.045;7.452;15.731;2.943;14.783;17.707;14.685;17.078;7.779;22.059;1.165;20.735;26.044;9.101;28.4;23.066;26.822;29.293;7.742;18.171;8.787;20.821;12.968;6.694;27.16;24.54;11.812;17.281;11.29;16.815;23.962;26.826;16.861;9.363;20.052;9.901;8.081;7.666;15.815;12.078;28.31;11.851;14.264;23.092;26.177;6.904;28.356;23.517;10.459;8.617;1.09;3.921;28.313;2.774;28.037;20.941;14.901;6.343;26.346;14.407;22.308;13.918;14.96;24.579;3.076;16.578;29.712;29.294;24.65;22.928;25.541;1.154;28.026;27.781;28.341;7.691;14.573;29.334;19.716;16.037;27.668;1.644;27.541;10.756;8.317;15.525;1.023;11.858;21.949;27.87;29.36;7.006;7.828;21.199;20.211;5.255;28.994;20.154;26.601;7.947;17.396;11.408;5.851;19.624;9.617;11.481;3.793;21.582;19.464;3.303;24.135;20.643;6.382;24.439;26.169;23.185;11.319;13.574;8.903;12.27;10.504;24.688;19.564;22.51;13.237;10.253;4.657;12.427;26.045;13.171;13.127;26.522;4.714;4.257;13.698;13.33;13.883;6.869;28.426;5.916;7.16;2.66;17.921;19.973;29.269;11.579;21.863;13.172;9.95;29.408;9.899;21.519;19.774;14.536;21.173;4.773;3.233;7.741;22.04;8.107;8.357;18.744;1.538;28.061;23.345;3.236;15.413;6.784;11.884;29.328;13.672;25.145;24.736;17.821;29.157;2.22;3.225;17.675;10.923;3.81;17.159;4.062;23.519;10.082;21.012;13.622;18.639;25.584;10.566;20.82;4.859;2.54;26.666;9.445;23.681;18.28;5.872;9.325;1.53;4.571;12.03;29.6;27.963;1.077;14.758;22.758;15.851;6.545;28.055;5.18;16.799;20.975;1.889;27.857;19.984;10.415;11.54;26.577;11.67;22.963;10.529;25.221;5.269;3.909;4.85;1.047;5.362;7.039;29.244;6.307;4.875;10.22;8.378;10.943;27.3;29.56;14.539;14.369;15.339;25.657;23.558;25.098;4.032;3.937;2.878;21.092;21.676;21.78;14.122;24.797;2.982;8.494;4.604
